epoch,train_loss,val_loss,train_ppl,val_ppl,val_bleu
1,6.696913061043048,6.330331198530957,809.9018447826866,561.3424788732353,0.056894201855035124
2,5.988986646406027,6.0832212324535195,399.0100667039378,438.4392371615369,0.22551822300251487
3,5.567720579559245,5.8702806815465,261.8365828443752,354.3484253749435,0.4813192127368197
4,5.184905058094648,5.6977140893867855,178.55649649105933,298.18499705756744,0.674845184772101
5,4.851503524662486,5.559455919713982,127.93259512904152,259.6815102896909,1.5098691085416251
6,4.5539109114504654,5.455012293510813,95.0032319407176,233.9277468450787,2.27756886621323
7,4.280443381972758,5.377988805755932,72.27247721796472,216.5862400966263,3.1099696967943697
8,4.0406527657936335,5.3080376107562515,56.863449207807214,201.95352784423565,4.114766900166857
9,3.8320225816194564,5.255654451509833,46.155797758099474,191.64686840388418,4.8541034232920754
10,3.645806044907845,5.232704781909659,38.31364292533466,187.2987212060516,5.088526465139178
11,3.479229489605124,5.203241780386936,32.43472115556094,181.86084021135719,5.675828035855335
12,3.3334630077106646,5.211453989561691,28.035260113722213,183.36046867523456,5.91827519074821
13,3.2023230676370416,5.208933265271098,24.589587172011253,182.89884953962363,6.801794505941948
14,3.089675468281539,5.231155200205216,21.969946874078126,187.00871128946667,6.759618385593706
15,2.988463261123294,5.210059097812127,19.855146858846396,183.1048789717098,7.1629292644259195
16,2.9015505298172783,5.217217500015573,18.20234678165718,184.42031995137972,8.01158657737256
17,2.8277160464103464,5.259701795842675,16.90680234235703,192.4241010737596,8.364165105723549
18,2.7554361242031296,5.268177468539778,15.727898724562024,194.0619559294626,8.74874972935385
19,2.6892107966041747,5.284535831655897,14.720054218326554,197.26259914053685,8.984886635876167
20,2.628766808270748,5.3167690115521395,13.85667142884786,203.7245856942308,9.068700794644672
